tm,pos,player
TOR,C,Precious Achiuwa
MEM,C,Steven Adams
MIA,C,Bam Adebayo
UTA,SG,Ochai Agbaji
MEM,PF,Santi Aldama
TOT,SG,Nickeil Alexander-Walker
UTA,SG,Nickeil Alexander-Walker
MIN,SG,Nickeil Alexander-Walker
MIL,SG,Grayson Allen
CLE,C,Jarrett Allen
NOP,PG,Jose Alvarado
MIN,PF,Kyle Anderson
MIL,PF,Giannis Antetokounmpo
MIL,SF,Thanasis Antetokounmpo
ORL,PG,Cole Anthony
TOR,SF,OG Anunoby
TOT,PG,Ryan Arcidiacono
NYK,PG,Ryan Arcidiacono
POR,PG,Ryan Arcidiacono
WAS,SF,Deni Avdija
PHO,C,Deandre Ayton
UTA,C,Udoka Azubuike
DET,C,Marvin Bagley III
GSW,SF,Patrick Baldwin Jr.
CHO,PG,LaMelo Ball
TOT,C,Mo Bamba
ORL,C,Mo Bamba
LAL,C,Mo Bamba
ORL,PF,Paolo Banchero
MEM,SG,Desmond Bane
TOR,PG,Dalano Banton
SAS,SF,Dominick Barlow
SAC,PF,Harrison Barnes
TOR,PF,Scottie Barnes
NYK,SG,RJ Barrett
WAS,SG,Will Barton
SAS,C,Charles Bassey
SAS,SF,Keita Bates-Diop
LAC,PF,Nicolas Batum
OKC,PF,Darius Bazley
WAS,SG,Bradley Beal
TOT,SG,Malik Beasley
UTA,SG,Malik Beasley
LAL,SG,Malik Beasley
MIL,SF,MarJon Beauchamp
DAL,PF,DÄvis BertÄns
TOT,PG,Patrick Beverley
LAL,PG,Patrick Beverley
CHI,PG,Patrick Beverley
TOT,SF,Saddiq Bey
DET,SF,Saddiq Bey
ATL,SF,Saddiq Bey
TOR,C,Khem Birch
TOT,C,Goga Bitadze
IND,C,Goga Bitadze
ORL,C,Goga Bitadze
PHO,C,Bismack Biyombo
ATL,SG,Bogdan BogdanoviÄ‡
DET,PF,Bojan BogdanoviÄ‡
ORL,PF,Bol Bol
UTA,SG,Leandro Bolmaro
PHO,SG,Devin Booker
LAC,SG,Brandon Boston Jr.
TOR,PF,Chris Boucher
CHO,SG,James Bouknight
MIA,PG,Jamaree Bouyea
CHI,C,Tony Bradley
SAS,SF,Malaki Branham
DEN,SG,Christian Braun
TOT,SF,Mikal Bridges
PHO,SF,Mikal Bridges
BRK,SF,Mikal Bridges
IND,SF,Oshae Brissett
BOS,PG,Malcolm Brogdon
MEM,SF,Dillon Brooks
DEN,SG,Bruce Brown
POR,PF,Greg Brown III
BOS,SF,Jaylen Brown
IND,SG,Kendall Brown
LAC,C,Moses Brown
LAL,SG,Sterling Brown
LAL,SF,Troy Brown Jr.
NYK,PG,Jalen Brunson
TOT,C,Thomas Bryant
LAL,C,Thomas Bryant
DEN,C,Thomas Bryant
DAL,SF,Reggie Bullock
DET,SG,Alec Burks
SAC,SG,Deonte Burton
MIA,SF,Jimmy Butler
POR,C,John Butler
MIA,SF,Jamal Cain
DEN,SG,Kentavious Caldwell-Pope
DAL,PG,Facundo Campazzo
DEN,PF,Vlatko ÄŒanÄar
ATL,C,Clint Capela
WAS,C,Vernon Carey Jr.
MIL,PG,Jevon Carter
ORL,C,Wendell Carter Jr.
CHI,PG,Alex Caruso
PHI,SF,Julian Champagnie
TOR,SF,Justin Champagnie
MEM,PG,Kennedy Chandler
LAL,SG,Max Christie
HOU,SG,Josh Christopher
MEM,PF,Brandon Clarke
UTA,SG,Jordan Clarkson
BRK,C,Nic Claxton
LAC,SG,Amir Coffey
ATL,PF,John Collins
SAS,C,Zach Collins
TOT,PG,Mike Conley
UTA,PG,Mike Conley
MIN,PG,Mike Conley
MIL,SG,Pat Connaughton
LAC,PF,Robert Covington
PHO,SF,Torrey Craig
MIL,SF,Jae Crowder
ATL,SG,Jarrett Culver
DET,PG,Cade Cunningham
BRK,SG,Seth Curry
GSW,PG,Stephen Curry
NOP,PG,Dyson Daniels
LAL,C,Anthony Davis
WAS,SG,Johnny Davis
SAC,SG,Terence Davis
BOS,PG,JD Davison
HOU,PF,Darius Days
MIA,C,Dewayne Dedmon
SAC,PG,Matthew Dellavedova
CHI,SF,DeMar DeRozan
LAC,PF,Moussa DiabatÃ©
CLE,PF,Mamadi Diakite
DET,SG,Hamidou Diallo
SAS,C,Gorgui Dieng
OKC,SF,Ousmane Dieng
TOT,PG,Spencer Dinwiddie
DAL,PG,Spencer Dinwiddie
BRK,PG,Spencer Dinwiddie
GSW,SG,Donte DiVincenzo
DAL,PG,Luka DonÄiÄ‡
DAL,SG,Tyler Dorsey
OKC,SG,Luguentz Dort
CHI,SG,Ayo Dosunmu
WAS,PG,Devon Dotson
TOR,PG,Jeff Dowtin
SAC,SG,PJ Dozier
CHI,PG,Goran DragiÄ‡
CHI,C,Andre Drummond
IND,SF,Chris Duarte
BRK,SG,David Duke Jr.
UTA,PG,Kris Dunn
BRK,PF,Kevin Durant
DET,C,Jalen Duren
HOU,PF,Tari Eason
MIN,SG,Anthony Edwards
TOT,SF,Kessler Edwards
BRK,SF,Kessler Edwards
SAC,SF,Kessler Edwards
SAC,SG,Keon Ellis
PHI,C,Joel Embiid
POR,C,Drew Eubanks
TOT,C,Bruno Fernando
HOU,C,Bruno Fernando
ATL,C,Bruno Fernando
TOT,PF,Dorian Finney-Smith
DAL,PF,Dorian Finney-Smith
BRK,PF,Dorian Finney-Smith
TOR,PG,Malachi Flynn
UTA,SF,Simone Fontecchio
MIN,SG,Bryn Forbes
ATL,PG,Trent Forrest
NYK,SG,Evan Fournier
SAC,PG,De'Aaron Fox
ORL,PG,Markelle Fultz
LAL,PF,Wenyen Gabriel
WAS,C,Daniel Gafford
CLE,PG,Darius Garland
HOU,PF,Usman Garuba
MIN,C,Luka Garza
UTA,PF,Rudy Gay
LAC,SG,Paul George
WAS,C,Taj Gibson
OKC,SG,Josh Giddey
OKC,PG,Shai Gilgeous-Alexander
WAS,PF,Anthony Gill
MIN,C,Rudy Gobert
WAS,PG,Jordan Goodwin
DEN,PF,Aaron Gordon
TOT,SG,Eric Gordon
HOU,SG,Eric Gordon
LAC,SG,Eric Gordon
TOT,PG,Devonte' Graham
NOP,PG,Devonte' Graham
SAS,PG,Devonte' Graham
POR,PF,Jerami Grant
MIL,SG,A.J. Green
TOT,SG,Danny Green
MEM,SG,Danny Green
CLE,SG,Danny Green
GSW,PF,Draymond Green
HOU,SG,Jalen Green
GSW,PF,JaMychal Green
CHI,SG,Javonte Green
DEN,PF,Jeff Green
DAL,SG,Josh Green
ATL,SF,AJ Griffin
BOS,C,Blake Griffin
NYK,SG,Quentin Grimes
TOT,PF,Rui Hachimura
WAS,PF,Rui Hachimura
LAL,PF,Rui Hachimura
IND,PG,Tyrese Haliburton
SAS,SF,Jordan Hall
TOT,PG,R.J. Hampton
ORL,PG,R.J. Hampton
DET,PG,R.J. Hampton
DAL,SG,Tim Hardaway Jr.
PHI,PG,James Harden
DAL,SG,Jaden Hardy
TOR,SF,Ron Harper Jr.
PHI,C,Montrezl Harrell
ORL,SG,Gary Harris
BRK,SG,Joe Harris
ORL,SG,Kevon Harris
PHI,PF,Tobias Harris
TOT,SF-SG,Josh Hart
POR,SF,Josh Hart
NYK,SG,Josh Hart
NYK,C,Isaiah Hartenstein
MIA,C,Udonis Haslem
BOS,PF,Sam Hauser
NOP,C,Jaxson Hayes
DET,PG,Killian Hayes
CHO,SF,Gordon Hayward
TOR,PF,Juancho HernangÃ³mez
NOP,C,Willy HernangÃ³mez
MIA,SG,Tyler Herro
IND,SF,Buddy Hield
MIA,SF,Haywood Highsmith
TOT,PG,George Hill
MIL,PG,George Hill
CHI,SF,Malcolm Hill
ATL,PG,Aaron Holiday
MIL,PG,Jrue Holiday
TOT,SG,Justin Holiday
ATL,SG,Justin Holiday
DAL,SG,Justin Holiday
SAC,C,Richaun Holmes
BOS,C,Al Horford
UTA,SG,Talen Horton-Tucker
PHI,SF,Danuel House Jr.
ORL,SF,Caleb Houstan
HOU,PG,Trevor Hudgins
SAC,SG,Kevin Huerter
ATL,SF,De'Andre Hunter
TOT,PG,Bones Hyland
DEN,PG,Bones Hyland
LAC,PG,Bones Hyland
MIL,C,Serge Ibaka
GSW,SF,Andre Iguodala
MIL,SF,Joe Ingles
NOP,SF,Brandon Ingram
TOT,PG,Kyrie Irving
BRK,PG,Kyrie Irving
DAL,PG,Kyrie Irving
ORL,PF,Jonathan Isaac
DET,SG,Jaden Ivey
IND,C,Isaiah Jackson
MEM,C,Jaren Jackson Jr.
BOS,SF,Justin Jackson
WAS,PG,Quenton Jackson
TOT,PG,Reggie Jackson
LAC,PG,Reggie Jackson
DEN,PG,Reggie Jackson
LAL,PF,LeBron James
GSW,SG,Ty Jerome
OKC,SG,Isaiah Joe
SAS,PF,Alize Johnson
TOT,PF,Cameron Johnson
PHO,PF,Cameron Johnson
BRK,PF,Cameron Johnson
ATL,SF,Jalen Johnson
IND,PF,James Johnson
SAS,SF,Keldon Johnson
POR,SG,Keon Johnson
SAS,SF,Stanley Johnson
DEN,C,Nikola JokiÄ‡
CHI,PG,Carlik Jones
TOT,C,Damian Jones
LAL,C,Damian Jones
UTA,C,Damian Jones
CHI,SF,Derrick Jones Jr.
NOP,SF,Herbert Jones
CHO,C,Kai Jones
SAS,PG,Tre Jones
MEM,PG,Tyus Jones
DEN,C,DeAndre Jordan
DET,PG,Cory Joseph
MIA,PF,Nikola JoviÄ‡
BOS,PF,Mfiondu Kabengele
TOT,C,Frank Kaminsky
ATL,C,Frank Kaminsky
HOU,C,Frank Kaminsky
NYK,SG,Trevor Keels
TOT,SG,Luke Kennard
LAC,SG,Luke Kennard
MEM,SG,Luke Kennard
UTA,C,Walker Kessler
DET,SF,Braxton Key
WAS,SF,Corey Kispert
DAL,C,Maxi Kleber
MIN,PF,Nathan Knight
TOT,PF-SF,Kevin Knox
DET,PF,Kevin Knox
POR,SF,Kevin Knox
TOR,C,Christian Koloko
MEM,SG,John Konchar
PHI,SG,Furkan Korkmaz
BOS,C,Luke Kornet
ATL,PG,Vit Krejci
GSW,PF,Jonathan Kuminga
WAS,PF,Kyle Kuzma
GSW,SF,Anthony Lamb
PHO,C,Jock Landale
SAS,SG,Romeo Langford
MEM,PF,Jake LaRavia
CHI,SG,Zach LaVine
TOT,SG,A.J. Lawson
MIN,SG,A.J. Lawson
DAL,SG,A.J. Lawson
PHO,SG,Damion Lee
TOT,PG,Saben Lee
PHI,PG,Saben Lee
PHO,PG,Saben Lee
SAC,C,Alex Len
LAC,SF,Kawhi Leonard
MIL,C,Meyers Leonard
CLE,SG,Caris LeVert
NOP,PG,Kira Lewis Jr.
POR,PG,Damian Lillard
POR,SF,Nassir Little
DET,PF,Isaiah Livers
MEM,PF,Kenneth Lofton Jr.
GSW,C,Kevon Looney
MIL,C,Brook Lopez
CLE,C,Robin Lopez
TOT,PF,Kevin Love
CLE,PF,Kevin Love
MIA,PF,Kevin Love
MIA,PG,Kyle Lowry
SAC,PF,Trey Lyles
CHO,PG,ThÃ©o Maledon
MIL,C,Sandro Mamukelashvili
LAC,SG,Terance Mann
OKC,PG,Tre Mann
HOU,C,Boban MarjanoviÄ‡
UTA,SF,Lauri Markkanen
NOP,SF,Naji Marshall
MIA,PF,Caleb Martin
CHO,SF,Cody Martin
HOU,SF,Kenyon Martin Jr.
ATL,SG,Tyrese Martin
TOT,SG,Garrison Mathews
HOU,SG,Garrison Mathews
ATL,SG,Garrison Mathews
IND,SF,Bennedict Mathurin
MIL,SG,Wesley Matthews
PHI,SG,Tyrese Maxey
NYK,PG,Miles McBride
NOP,SG,CJ McCollum
IND,PG,T.J. McConnell
MIN,PF,Jaden McDaniels
TOT,SF,Jalen McDaniels
CHO,SF,Jalen McDaniels
PHI,SF,Jalen McDaniels
SAS,SF,Doug McDermott
DAL,C,JaVale McGee
CHO,SG,Bryce McGowens
DET,SG,Rodney McGruder
MIN,PG,Jordan McLaughlin
PHI,PG,De'Anthony Melton
SAC,C,Chimezie Metu
MIL,SF,Khris Middleton
BRK,PG,Patty Mills
PHI,SG,Shake Milton
MIN,SF,Josh Minott
SAC,PG,Davion Mitchell
CLE,SG,Donovan Mitchell
CLE,PF,Evan Mobley
CLE,PF,Isaiah Mobley
SAC,SF,Chima Moneke
SAC,SG,Malik Monk
GSW,SG,Moses Moody
MIN,SG,Wendell Moore Jr.
MEM,PG,Ja Morant
LAC,PF,Marcus Morris
TOT,PF,Markieff Morris
BRK,PF,Markieff Morris
DAL,PF,Markieff Morris
WAS,PG,Monte Morris
NOP,SF,Trey Murphy III
ATL,SG,Dejounte Murray
DEN,PG,Jamal Murray
SAC,SF,Keegan Murray
TOT,C,Mike Muscala
OKC,C,Mike Muscala
BOS,C,Mike Muscala
TOT,SF,Svi Mykhailiuk
NYK,SF,Svi Mykhailiuk
CHO,SF,Svi Mykhailiuk
NOP,PF,Larry Nance Jr.
IND,SG,Andrew Nembhard
IND,SF,Aaron Nesmith
CLE,PG,Raul Neto
PHI,PF,Georges Niang
HOU,PG,Daishen Nix
DEN,PF,Zeke Nnaji
DET,C,Nerlens Noel
MIN,SG,Jaylen Nowell
DAL,PG,Frank Ntilikina
TOT,SG-PG,Kendrick Nunn
LAL,SG,Kendrick Nunn
WAS,PG,Kendrick Nunn
POR,C,Jusuf NurkiÄ‡
TOT,SF,Jordan Nwora
MIL,SF,Jordan Nwora
IND,SF,Jordan Nwora
BRK,SF,Royce O'Neale
ORL,SF,Chuma Okeke
PHO,SG,Josh Okogie
ATL,C,Onyeka Okongwu
CLE,SF,Isaac Okoro
SAC,PF,KZ Okpala
MIA,SG,Victor Oladipo
UTA,C,Kelly Olynyk
OKC,SF,Eugene Omoruyi
CLE,SF,Cedi Osman
CHO,SF,Kelly Oubre Jr.
PHO,PG,Chris Paul
PHO,PG,Cameron Payne
POR,PG,Gary Payton II
DAL,SG,Theo Pinson
LAL,PG,Scotty Pippen Jr.
TOT,C,Mason Plumlee
CHO,C,Mason Plumlee
LAC,C,Mason Plumlee
TOT,C,Jakob Poeltl
SAS,C,Jakob Poeltl
TOR,C,Jakob Poeltl
OKC,PF,Aleksej Pokusevski
GSW,PG,Jordan Poole
HOU,PG,Kevin Porter Jr.
DEN,SF,Michael Porter Jr.
TOR,SF,Otto Porter Jr.
MIL,PF,Bobby Portis
WAS,C,Kristaps PorziÅ†Ä£is
UTA,PF,Micah Potter
DAL,C,Dwight Powell
LAC,SG,Norman Powell
LAC,PG,Jason Preston
SAS,SG,Joshua Primo
MIN,SF,Taurean Prince
BOS,PG,Payton Pritchard
IND,SG,Trevelin Queen
SAC,C,Neemias Queta
NYK,PG,Immanuel Quickley
NYK,PF,Julius Randle
LAL,SG,Austin Reaves
TOT,SF,Cam Reddish
NYK,SF,Cam Reddish
POR,SF,Cam Reddish
TOT,SG,Davon Reed
DEN,SG,Davon Reed
LAL,SG,Davon Reed
PHI,C,Paul Reed
MIN,C,Naz Reid
DET,SG,Jared Rhoden
CHO,C,Nick Richards
TOT,SG,Josh Richardson
SAS,SG,Josh Richardson
NOP,SG,Josh Richardson
MIN,SG,Austin Rivers
MIA,SF,Duncan Robinson
NYK,C,Mitchell Robinson
MIA,C,Orlando Robinson
OKC,PF,Jeremiah Robinson-Earl
SAS,PF,Isaiah Roby
MEM,PF,David Roddy
GSW,PG,Ryan Rollins
NYK,PG,Derrick Rose
TOT,SG,Terrence Ross
ORL,SG,Terrence Ross
PHO,SG,Terrence Ross
CHO,SG,Terry Rozier
CLE,PG,Ricky Rubio
TOT,PG,D'Angelo Russell
MIN,PG,D'Angelo Russell
LAL,PG,D'Angelo Russell
TOT,SF,Matt Ryan
LAL,SF,Matt Ryan
MIN,SF,Matt Ryan
SAC,C,Domantas Sabonis
TOT,PF,Dario Å ariÄ‡
PHO,PF,Dario Å ariÄ‡
OKC,PF,Dario Å ariÄ‡
WAS,SF,Jordan Schakel
ORL,PF,Admiral Schofield
LAL,PG,Dennis SchrÃ¶der
NOP,SG,Dereon Seabron
HOU,C,Alperen ÅžengÃ¼n
UTA,SG,Collin Sexton
PHO,SG,Landry Shamet
BRK,C,Day'Ron Sharpe
POR,SG,Shaedon Sharpe
TOR,C,Pascal Siakam
DAL,PF,Chris Silva
BRK,PG,Ben Simmons
CHI,C,Marko Simonovic
POR,SG,Anfernee Simons
NYK,C,Jericho Sims
BOS,PG,Marcus Smart
CHO,PG,Dennis Smith Jr.
TOT,SG,Dru Smith
MIA,SG,Dru Smith
BRK,SG,Dru Smith
DEN,PG,Ish Smith
HOU,PF,Jabari Smith Jr.
IND,PF,Jalen Smith
SAS,PF,Jeremy Sochan
PHI,SG,Jaden Springer
CLE,PF,Lamar Stevens
DET,C,Isaiah Stewart
MIA,SF,Max Strus
ORL,PG,Jalen Suggs
BRK,SG,Edmond Sumner
LAL,SF,Cole Swider
HOU,SF,Jae'Sean Tate
BOS,PF,Jayson Tatum
TOT,PF,Terry Taylor
IND,PF,Terry Taylor
CHI,PF,Terry Taylor
NOP,SG,Garrett Temple
CHI,SG,Dalen Terry
IND,C,Daniel Theis
BRK,SG,Cam Thomas
GSW,SG,Klay Thompson
CHO,PF,JT Thor
TOT,SG,Matisse Thybulle
PHI,SG,Matisse Thybulle
POR,SG,Matisse Thybulle
MEM,PF,Xavier Tillman Sr.
WAS,PF,Isaiah Todd
NYK,PF,Obi Toppin
TOT,SF,Juan Toscano-Anderson
LAL,SF,Juan Toscano-Anderson
UTA,SF,Juan Toscano-Anderson
MIN,PF,Karl-Anthony Towns
TOR,SG,Gary Trent Jr.
PHI,PF,P.J. Tucker
IND,C,Myles Turner
DET,SG,Stanley Umude
NOP,C,Jonas ValanÄiÅ«nas
TOT,PF,Jarred Vanderbilt
UTA,PF,Jarred Vanderbilt
LAL,PF,Jarred Vanderbilt
TOR,PG,Fred VanVleet
SAS,SG,Devin Vassell
MIA,PG,Gabe Vincent
BOS,C,Noah Vonleh
CHI,C,Nikola VuÄeviÄ‡
CLE,PF,Dean Wade
ORL,SF,Franz Wagner
ORL,C,Moritz Wagner
PHO,SF,Ish Wainright
POR,SF,Jabari Walker
DAL,PG,Kemba Walker
LAL,SG,Lonnie Walker IV
LAC,PG,John Wall
TOT,PF-SF,T.J. Warren
BRK,PF,T.J. Warren
PHO,SF,T.J. Warren
PHO,SG,Duane Washington Jr.
CHO,PF,P.J. Washington
HOU,PG,TyTy Washington Jr.
BRK,SF,Yuta Watanabe
OKC,SG,Lindy Waters III
POR,PF,Trendon Watford
DEN,SG,Peyton Watson
SAS,SG,Blake Wesley
TOT,PG,Russell Westbrook
LAL,PG,Russell Westbrook
LAC,PG,Russell Westbrook
CHI,SG,Coby White
BOS,SG,Derrick White
DEN,SF,Jack White
TOR,SF,Joe Wieskamp
OKC,SG,Aaron Wiggins
GSW,SF,Andrew Wiggins
BOS,PF,Grant Williams
OKC,SG,Jalen Williams
OKC,PF,Jaylin Williams
OKC,PF,Kenrich Williams
CHO,C,Mark Williams
CHI,PF,Patrick Williams
BOS,C,Robert Williams
MEM,SG,Vince Williams Jr.
MEM,SF,Ziaire Williams
NOP,PF,Zion Williamson
POR,SF,Justise Winslow
TOT,C,James Wiseman
GSW,C,James Wiseman
DET,C,James Wiseman
DAL,C,Christian Wood
WAS,PG,Delon Wright
DAL,PG,McKinley Wright IV
TOR,PF,Thaddeus Young
ATL,PG,Trae Young
MIA,C,Cody Zeller
LAC,C,Ivica Zubac
